"","year","sex","lower_ci","upper_ci","mean_ex","Country_of_Birth"
"1",1971,"Female",59.5862030608288,59.7225717583913,59.650144782821,"All"
"2",1971,"Male",57.3508314407068,57.483910860899,57.408919913682,"All"
"3",1972,"Female",60.2081671039967,60.338084078607,60.2658127329896,"All"
"4",1972,"Male",57.7757650772653,57.9408567754547,57.844587074888,"All"
"5",1973,"Female",60.7948978268119,60.9228827356532,60.8552617407588,"All"
"6",1973,"Male",58.0866852408626,58.2641832173585,58.1869009244334,"All"
"7",1974,"Female",61.3428387610285,61.4849021737734,61.4049044563299,"All"
"8",1974,"Male",58.4517760540438,58.6145458127542,58.5391925983313,"All"
"9",1975,"Female",61.8852644182055,62.0069544267545,61.9622317121162,"All"
"10",1975,"Male",58.8586231845922,59.0418820391403,58.9258472299673,"All"
"11",1976,"Female",62.2838234083241,62.4279692151507,62.3620601020007,"All"
"12",1976,"Male",59.0765177435491,59.2924362923394,59.173195469732,"All"
"13",1977,"Female",62.7953151299532,62.9570009249852,62.8687922497263,"All"
"14",1977,"Male",59.350833590336,59.5639965675522,59.4523230366489,"All"
"15",1978,"Female",63.1594985146887,63.3103232970072,63.2505665487968,"All"
"16",1978,"Male",59.5776042232386,59.8131551067101,59.6771945046963,"All"
"17",1979,"Female",63.4913655911485,63.6511303340375,63.5689168573914,"All"
"18",1979,"Male",59.8877868008904,60.0727195082085,59.9765986734728,"All"
"19",1980,"Female",63.7810350888876,64.0074097316418,63.8972963913006,"All"
"20",1980,"Male",60.0527648903892,60.2877847184846,60.1857673748975,"All"
"21",1981,"Female",64.1154713628169,64.3028478061312,64.2246915351366,"All"
"22",1981,"Male",60.2445116675212,60.4742501779818,60.3424026588595,"All"
"23",1982,"Female",64.3675403085897,64.5707621853714,64.4878102707185,"All"
"24",1982,"Male",60.2626862345708,60.5289936356105,60.3950572157475,"All"
"25",1983,"Female",64.6783758331394,64.8914944842007,64.7781204553675,"All"
"26",1983,"Male",60.3531221379213,60.5919725384926,60.4691168261507,"All"
"27",1984,"Female",64.6972238352876,64.9033230770117,64.8122056437969,"All"
"28",1984,"Male",60.5446212671622,60.7777905697422,60.6445276183328,"All"
"29",1985,"Female",64.998859236139,65.2109874782736,65.1069255685078,"All"
